"","total_cont","total_cust","zip_code","lat","long"
"325",370,9,16023,40.796809,-79.75147
"326",355,15,16025,40.947245,-79.75428
"327",25,1,16029,40.877703,-79.84392
"328",1049.44,16,16033,40.789672,-80.04848
"329",125,5,16034,40.868261,-79.72506
"330",6970.44,56,16037,40.821535,-80.13033
"331",45,3,16040,41.098857,-79.84091
"332",10,1,16045,40.85062,-79.91314
"333",244437.5,263,16046,40.695658,-80.03359
"334",35,1,16049,41.097836,-79.66317
"335",225,6,16051,40.953141,-80.14799
"336",1475,18,16052,40.898789,-80.06125
"337",805,28,16053,40.808934,-79.97811
"338",2550,24,16055,40.713078,-79.73603
"339",1110,17,16056,40.732393,-79.83422
"340",1822.5,41,16057,41.047157,-80.05506
"341",4415,62,16059,40.702289,-79.93733
"342",11503,72,16063,40.783001,-80.13343
"343",38543.53,320,16066,40.700423,-80.11374
"344",820,21,16101,40.992023,-80.32747
"345",900,15,16102,40.970991,-80.38291
"346",760,19,16105,41.038205,-80.34539
"347",386,10,16115,40.802863,-80.44364
"348",150,6,16116,41.025132,-80.45756
"349",755,36,16117,40.857663,-80.27534
"350",2250,18,16120,40.875943,-80.46851
"351",550,3,16123,40.821528,-80.19444
"352",25,1,16124,41.329301,-80.26042
"353",125,4,16125,41.403462,-80.37424
"354",3376,59,16127,41.169987,-80.08174
"355",80,3,16133,41.274408,-80.12409
"356",25,1,16134,41.506801,-80.46177
"357",445,10,16136,40.834903,-80.32428
"358",1025,15,16137,41.234591,-80.2364
"359",19250,14,16141,40.853014,-80.40181
"360",230,9,16142,41.135063,-80.33492
"361",25,1,16143,41.096535,-80.46266
"362",710,18,16146,41.230106,-80.49896
"363",2065,35,16148,41.232543,-80.45797
"364",570,14,16150,41.266185,-80.46312
"365",5,1,16153,41.335391,-80.08895
"366",50,2,16154,41.330028,-80.42771
"367",110,6,16157,40.889241,-80.34189
"368",225,6,16159,41.174066,-80.45319
"369",6925,102,16201,40.809467,-79.49922
"370",560,9,16214,41.199396,-79.37196
"371",40,2,16222,40.8739,-79.24188
"372",145,5,16226,40.747985,-79.51228
"373",160,7,16229,40.711528,-79.65608
"374",25,1,16230,41.020621,-79.27416
"375",210,8,16232,41.230562,-79.55397
"376",600,6,16233,41.361473,-79.27869
"377",95,4,16238,40.786362,-79.52164
"378",20,1,16239,41.496544,-79.13944
"379",135,5,16242,41.007757,-79.3461
"380",25,1,16248,41.039668,-79.50254
"381",25,1,16254,41.255691,-79.45122
"382",25,1,16256,40.854736,-79.13528
"383",25,1,16258,41.221629,-79.28293
"384",250,6,16259,40.90764,-79.45161
"385",2160,25,16262,40.839519,-79.65268
"386",275,11,16301,41.439658,-79.69044
"387",80,3,16316,41.607955,-80.29601
"388",100,1,16317,41.526679,-79.86027
"389",25,1,16323,41.407366,-79.83921
"390",3590,49,16335,41.637502,-80.15214
"391",85,2,16341,41.560056,-79.53852
"392",125,3,16346,41.378236,-79.6864
"393",150,3,16354,41.622203,-79.69298
"394",100,3,16364,41.369406,-79.51724
"395",25,1,16365,41.853225,-79.15521
"396",300,1,16407,41.919028,-79.65224
"397",50,2,16412,41.875896,-80.15129
"398",650,9,16415,42.035523,-80.23526
"399",25,1,16428,42.195488,-79.83296
"400",25,1,16502,42.110757,-80.10024
"401",5,1,16505,42.100307,-80.15552
"402",50,1,16506,42.072606,-80.14541
"403",390,9,16509,42.074056,-80.06927
"404",2809.22,34,16601,40.526319,-78.40082
"405",830,14,16602,40.50217,-78.39121
"406",250,5,16630,40.464754,-78.5885
"407",225,9,16635,40.419572,-78.44934
"408",600,5,16646,40.670162,-78.70932
"409",1693.5,30,16648,40.439272,-78.37421
"410",1300,10,16652,40.498403,-77.99417
"411",25,1,16662,40.306709,-78.31987
"412",175,5,16666,40.85258,-78.28335
"413",35,2,16683,40.662087,-78.07012
"414",125.5,5,16686,40.666444,-78.24353
"415",245,7,16801,40.792011,-77.84993
"416",1281.48,11,16803,40.802661,-77.89936
"417",50,2,16823,40.91255,-77.77387
"418",3579,38,16830,41.026239,-78.43838
"419",25,1,16833,40.948433,-78.55176
"420",75,3,16870,40.801396,-78.045
"421",25,1,17013,40.203458,-77.19987
"422",650,1,17101,40.261839,-76.88279
"423",1525,12,17111,40.264389,-76.80298
"424",50,2,17202,39.92,-77.71
"425",50,2,17228,39.995374,-78.09348
"426",50,2,17257,40.053308,-77.50622
"427",150,4,17325,39.827337,-77.22904
"428",50,1,17356,39.90035,-76.59778
"429",115,5,17512,40.037682,-76.49011
"430",25,1,17552,40.109445,-76.50919
"431",25,1,17579,39.9656,-76.17781
